comment_id,parent_id,author,text,published,like_count,is_top_level,published_dt,text_length,type,cleaned_tokens
UgxkGUbYVyUgRib_0d14AaABAg,root,@natalala1803,Should i upgrade from 14 pro max? I kinda want the pink one 😬😅,1727827200,0,,2024-10-02,62,Top-level,"['upgrade', 'pro', 'max', 'kinda', 'want', 'pink', 'one']"
UgwUYd5k3Arl7zRM2g54AaABAg,root,@Victor_Andrei,"Man, I have to respect the absolutely blatant lie in the title. We are so past shame and basic decency. Just ""FUCKING CLICK THIS YOU MEAT SACK"". I love it.",1727827200,0,,2024-10-02,155,Top-level,"['man', 'respect', 'absolutely', 'blatant', 'lie', 'title', 'past', 'shame', 'basic', 'decency', 'fucking', 'click', 'meat', 'sack', 'love']"
Ugx1nFmELkQCDpKq9qt4AaABAg,root,@shekhar1010,This aged really well.,1727827200,2,,2024-10-02,22,Top-level,"['aged', 'really', 'well']"
UgxHGb0wJVaeOefthI54AaABAg,root,@maharshishelat8449,It's exacting the same 😂 what a big let down Apple..!,1727827200,3,,2024-10-02,53,Top-level,"['exacting', 'big', 'let', 'apple']"
Ugw2mD9EHd0QENv4_G54AaABAg,root,@shardoolask7226,So it’s literally this 😂,1727827200,11,,2024-10-02,24,Top-level,['literally']
Ugx0qdgdYpkzzb_0M6J4AaABAg,root,@killabyt3,This aged like fine wine,1727827200,7,,2024-10-02,24,Top-level,"['aged', 'like', 'fine', 'wine']"
UgwqJOBWMZcB41CyRcZ4AaABAg,root,@argentinatango2206,ويستمر مشكل البطارية,1727827200,0,,2024-10-02,20,Top-level,[]
Ugxk65fqwe_CFn2GGCp4AaABAg,root,@jon7036,well. these were very spot on.,1727827200,7,,2024-10-02,30,Top-level,"['well', 'spot']"
UgxUgdGVFajB1ZPiXCl4AaABAg,root,@se3a_today,people that are here after watching the live event,1727827200,3,,2024-10-02,50,Top-level,"['people', 'watching', 'live', 'event']"
UgzOa1MMfaCV18qciB14AaABAg,root,@alialhwawsheh8575,Anyone can explain to me how buy demo iPhone like these in video,1727827200,0,,2024-10-02,64,Top-level,"['anyone', 'explain', 'buy', 'demo', 'iphone', 'like', 'video']"
Ugx2oXCvCG2WIy5_dcV4AaABAg,root,@yusgg18,Me doing my assignments on the last day,1727827200,0,,2024-10-02,39,Top-level,"['assignment', 'last', 'day']"
Ugx9reWG9ztF8F1QgHl4AaABAg,root,@Comeswoopfam,No phone case baby,1727827200,0,,2024-10-02,18,Top-level,"['phone', 'case', 'baby']"
UgwrMww3FTz9oGtl3254AaABAg,root,@NicholasChristine-w4l,Martinez Larry Lewis Brenda Jackson Sharon,1727827200,0,,2024-10-02,42,Top-level,"['martinez', 'larry', 'lewis', 'brenda', 'jackson', 'sharon']"
UgwCwSvV-YlGRvUFXeh4AaABAg,root,@ElectraBard-h3d,Jones Joseph Thomas Donald Wilson Deborah,1727827200,0,,2024-10-02,41,Top-level,"['jones', 'joseph', 'thomas', 'donald', 'wilson', 'deborah']"
Ugx2RMSdP91jsZCSIpV4AaABAg,root,@EthanJoseph-yp3xp,Finally they actually changed something so someone will finally notice the difference from the ohtside,1727827200,1,,2024-10-02,102,Top-level,"['finally', 'actually', 'changed', 'something', 'someone', 'finally', 'notice', 'difference', 'ohtside']"
Ugw4GVchBLEbCCZAaCN4AaABAg,root,@SusannaElroy,Garcia Eric Clark Sandra Davis Daniel,1727827200,0,,2024-10-02,37,Top-level,"['garcia', 'eric', 'clark', 'sandra', 'davis', 'daniel']"
Ugzc5VGaK02t4_PVgRh4AaABAg,root,@SusannaElroy,Wilson Gary Miller George Martinez George,1727827200,0,,2024-10-02,41,Top-level,"['wilson', 'gary', 'miller', 'george', 'martinez', 'george']"
UgyRuzWmp_2KMrGw_4N4AaABAg,root,@trevorphilips6804,11 minute video & nothing new 💀,1727827200,0,,2024-10-02,31,Top-level,"['minute', 'video', 'nothing', 'new']"
UgxId059zsVqf31K_yd4AaABAg,root,@BelleMarian-e9u,Rodriguez Jason Jackson Eric Clark Helen,1727827200,0,,2024-10-02,40,Top-level,"['rodriguez', 'jason', 'jackson', 'eric', 'clark', 'helen']"
Ugxneb-SyWTHjSd62Wh4AaABAg,root,@tyronebollozos7499,the 2nd button is actually the simcard slots for the asian market.,1727827200,0,,2024-10-02,66,Top-level,"['button', 'actually', 'simcard', 'slot', 'asian', 'market']"
Ugx-wChU3q2eiCVU6td4AaABAg,root,@uknolynx,"as a iPhone 11 Pro user, im still waiting for apple's flip/fold phones which probably not going to come out in another 10 decades",1727827200,0,,2024-10-02,129,Top-level,"['iphone', 'pro', 'user', 'still', 'waiting', 'apple', 'flip', 'fold', 'phone', 'probably', 'going', 'come', 'another', 'decade']"
Ugyl1fTqOu2A_qTM9c54AaABAg,root,@princessgigi1910,I LOVE it !!!! It’s like the iPhone 10 I used to have  before I accidentally ran it over with my car. I truly loved that phone . I love the color but I don’t think that’s going to be an option. That is too much like the matte I iPhone 15. WHY is Apple being so Secretive and evasive this time??? I went to the Apple Store to ask the launch date and color options. OMG Tjey acted as if I asked for the Nuclear code. Security was circling me like a Shark. Insanity Over the IPhone 16 Hype! I plan to buy 2 IPhone 16 Pro Max. My first time ever buying a Pro / pro Mac iPhone. I just wanted some details. Thank you for this .i hope the Coffee is an option !❤,1727827200,0,,2024-10-02,654,Top-level,"['love', 'like', 'iphone', 'used', 'accidentally', 'ran', 'car', 'truly', 'loved', 'phone', 'love', 'color', 'think', 'going', 'option', 'much', 'like', 'matte', 'iphone', 'apple', 'secretive', 'evasive', 'time', 'went', 'apple', 'store', 'ask', 'launch', 'date', 'color', 'option', 'omg', 'tjey', 'acted', 'asked', 'nuclear', 'code', 'security', 'circling', 'like', 'shark', 'insanity', 'iphone', 'hype', 'plan', 'buy', 'iphone', 'pro', 'max', 'first', 'time', 'ever', 'buying', 'pro', 'pro', 'mac', 'iphone', 'wanted', 'detail', 'thank', 'hope', 'coffee', 'option']"
UgxGC8Oi8Z5GGW_6NBR4AaABAg,root,@TanjirMokammel,Why does it looks like nothing 😂,1727827200,0,,2024-10-02,32,Top-level,"['look', 'like', 'nothing']"
Ugyxdq91eqWT4tMID1d4AaABAg,root,@HishamAdeeb-d7z,Yur leaks are always wrong,1727827200,0,,2024-10-02,26,Top-level,"['yur', 'leak', 'always', 'wrong']"
Ugxj5jIS_FdzSlKxbuF4AaABAg,root,@whitter,"Apple sucks deep, so old, so deadish",1727827200,0,,2024-10-02,36,Top-level,"['apple', 'suck', 'deep', 'old', 'deadish']"
UgxxusQPN6edgPYLlv54AaABAg,root,@TuttleVictoria-i8j,Lopez Gary Lewis Cynthia Brown Brenda,1727827200,0,,2024-10-02,37,Top-level,"['lopez', 'gary', 'lewis', 'cynthia', 'brown', 'brenda']"
UgypC6P8wNtx4d29qEB4AaABAg,root,@HodgsonBroderick-e2z,Martinez Mark Jackson Edward Miller Amy,1727827200,0,,2024-10-02,39,Top-level,"['martinez', 'mark', 'jackson', 'edward', 'miller', 'amy']"
UgzSlFDD4cXlO4fXJWB4AaABAg,root,@JennyMax-x6s,Anderson Charles Thomas Maria Johnson Patricia,1727827200,0,,2024-10-02,46,Top-level,"['anderson', 'charles', 'thomas', 'maria', 'johnson', 'patricia']"
Ugy1Pv1VDj8M7fG0dBl4AaABAg,root,@bajramdarbuka9789,Samsung S24 Ultra ❤ Its Best Smartphone in World,1727827200,0,,2024-10-02,48,Top-level,"['samsung', 'ultra', 'best', 'smartphone', 'world']"
Ugy2ypi0CKFK1Q4TaLR4AaABAg,root,@LilyHeloise-c6f,Harris Anthony Young David Young Daniel,1727827200,0,,2024-10-02,39,Top-level,"['harris', 'anthony', 'young', 'david', 'young', 'daniel']"
UgzNPuOeyzDwYYqwpxZ4AaABAg,root,@rickytoledo9309,Bro she like vivo a18,1727827200,0,,2024-10-02,21,Top-level,"['bro', 'like', 'vivo']"
Ugwf9KCeiAY1uZtdtxl4AaABAg,root,@HarringtonWebb-l5d,Jackson Deborah Hall William Lee Margaret,1727827200,0,,2024-10-02,41,Top-level,"['jackson', 'deborah', 'hall', 'william', 'lee', 'margaret']"
Ugz32XJeIrX0H8ovVZh4AaABAg,root,@ericcastaneda336,In that case just get the iPhone 8+,1727827200,0,,2024-10-02,35,Top-level,"['case', 'get', 'iphone']"
Ugw-ZL5tm813-bzh3Sl4AaABAg,root,@VikasSingh-ji8ch,😂,1727827200,0,,2024-10-02,1,Top-level,[]
UgwvwZjbmOU_Hm1TDQF4AaABAg,root,@OneMoreVacation,"Well... Its so obvious that those are not replicas made in China. Well actually they are made in China but produced by Apple 😅 If they were not from originally Apple, a tech guru would not talk so surely about their colors and designs. He is presenting them with almost no doubt like they are legit iPhones, because they are 😊",1727827200,0,,2024-10-02,326,Top-level,"['well', 'obvious', 'replica', 'made', 'china', 'well', 'actually', 'made', 'china', 'produced', 'apple', 'originally', 'apple', 'tech', 'guru', 'would', 'talk', 'surely', 'color', 'design', 'presenting', 'almost', 'doubt', 'like', 'legit', 'iphones']"
UgyJKrZm6QyFP5oagRl4AaABAg,root,@WarnerVincent-g2c,Clark Linda Anderson Carol Rodriguez Cynthia,1727827200,0,,2024-10-02,44,Top-level,"['clark', 'linda', 'anderson', 'carol', 'rodriguez', 'cynthia']"
Ugw9rJZGAzK0TTYBVuN4AaABAg,root,@Droopydog79,Looks like an old Lg camera if this is the case im keeping my 15 pro max!!!!,1727827200,0,,2024-10-02,76,Top-level,"['look', 'like', 'old', 'camera', 'case', 'keeping', 'pro', 'max']"
UgxdtZxhlzuKaGi_x3V4AaABAg,root,@SoupCatPy,apple is probably so mad everyone knows what the 16 is like,1727827200,0,,2024-10-02,59,Top-level,"['apple', 'probably', 'mad', 'everyone', 'know', 'like']"
UgwqcNVaXi3V7R1lGUR4AaABAg,root,@xctvns,Bruh wtf is that giving XR vibes,1727827200,0,,2024-10-02,32,Top-level,"['bruh', 'wtf', 'giving', 'vibe']"
UgwQYAKWZgmjw3XcyP54AaABAg,root,@LeopoldCyril-v5p,Thomas George Hall Jessica Jones Robert,1727827200,0,,2024-10-02,39,Top-level,"['thomas', 'george', 'hall', 'jessica', 'jones', 'robert']"
Ugxj7h6_YRWBaco08p94AaABAg,root,@Bee-n8e,My iPhone 8+ is working much better after replacing the battery/ I think previous owner might have sold me a water damage iPhone since battery look damaged/ took awhile to get battery in / I think 6+ / 6s+ models battery replacement are easier to connect to motherboard/ I was worried that the motherboard might need replacement too but seems like it’s much cooler now with a new battery in 8+ love this phone/ I have an XS max too as service phone but 8+ is pocket iPod WiFi device/ especially since 64gb on XS max is to small if wasn’t expensive screen I would replace motherboard with a 128gb min. Nand flash/ I would most get a motherboard no iCloud lock so don’t have play any games / and love to use CD ripped library via iTunes,1727827200,0,,2024-10-02,734,Top-level,"['iphone', 'working', 'much', 'better', 'replacing', 'battery', 'think', 'previous', 'owner', 'might', 'sold', 'water', 'damage', 'iphone', 'since', 'battery', 'look', 'damaged', 'took', 'awhile', 'get', 'battery', 'think', 'model', 'battery', 'replacement', 'easier', 'connect', 'motherboard', 'worried', 'motherboard', 'might', 'need', 'replacement', 'seems', 'like', 'much', 'cooler', 'new', 'battery', 'love', 'phone', 'max', 'service', 'phone', 'pocket', 'ipod', 'wifi', 'device', 'especially', 'since', 'max', 'small', 'expensive', 'screen', 'would', 'replace', 'motherboard', 'min', 'nand', 'flash', 'would', 'get', 'motherboard', 'icloud', 'lock', 'play', 'game', 'love', 'use', 'ripped', 'library', 'via', 'itunes']"
UgzD4XX_1-yx9MkbH714AaABAg,root,@Bee-n8e,iPhones 8+ are my favorite/ I love curve edges/ so most likely will not be buying a iPhone 16 / maybe if Touch ID comes to screen via Apple app / don’t care for Face ID especially at night after 12am gizmo don’t like bright lights,1727827200,0,,2024-10-02,230,Top-level,"['iphones', 'favorite', 'love', 'curve', 'edge', 'likely', 'buying', 'iphone', 'maybe', 'touch', 'come', 'screen', 'via', 'apple', 'app', 'care', 'face', 'especially', 'night', 'gizmo', 'like', 'bright', 'light']"
UgyxcU8zEmUDOZaVLiV4AaABAg,root,@Bee-n8e,iPhone 6/6S+ were my favorite it’s too bad that the iPhone for 8+ screen doesn’t work,1727827200,0,,2024-10-02,85,Top-level,"['iphone', 'favorite', 'bad', 'iphone', 'screen', 'work']"
Ugy2j5gKM6QIJaNazYJ4AaABAg,root,@Bee-n8e,One thing I like buy older iPhones is to then upgrade the battery,1727827200,0,,2024-10-02,65,Top-level,"['one', 'thing', 'like', 'buy', 'older', 'iphones', 'upgrade', 'battery']"
UgyYQZk4uEHPdfTH6Ut4AaABAg,root,@Bee-n8e,"Wireless charger like like a mini coat rack lol,",1727827200,0,,2024-10-02,48,Top-level,"['wireless', 'charger', 'like', 'like', 'mini', 'coat', 'rack', 'lol']"
UgwcjRl4d60E_dE6F8l4AaABAg,root,@rashtech8539,Same fucking shit,1727827200,0,,2024-10-02,17,Top-level,"['fucking', 'shit']"
Ugya6h_lvg_WRteLtBt4AaABAg,root,@HarryTabitha-g2b,Martinez Shirley Robinson Jason Clark Karen,1727827200,0,,2024-10-02,43,Top-level,"['martinez', 'shirley', 'robinson', 'jason', 'clark', 'karen']"
UgzdCqNQubQ3RglUAh94AaABAg,root,@soulassassin4847,Staying with my 14 pro max 🤷🏻,1727827200,0,,2024-10-02,29,Top-level,"['staying', 'pro', 'max']"
UgwuM4Fk6j2Lgxymwex4AaABAg,root,@thefinest241,We all can agree tht apple has ran out of ideas,1727827200,0,,2024-10-02,47,Top-level,"['agree', 'tht', 'apple', 'ran', 'idea']"
